Sembol,Yon,Giris_Tarihi,Cikis_Tarihi,Adet,Giris_Fiyati,Cikis_Fiyati,Hedef_Fiyati,Stop_Fiyati,P&L_USD,Sebep,Elde_Tutma_Gun
JPM,LONG,2025-01-21,2025-02-06,17,256.4326477050781,269.1034447320566,269.1034447320566,243.76185067809968,215.40354945863328,✅ Take-Profit (Mekanik),12
V,LONG,2025-01-30,2025-02-13,12,339.2264099121094,351.4546447957301,351.4546447957301,326.9981750284887,146.73881860344864,✅ Take-Profit (Mekanik),10
JPM,LONG,2025-02-06,2025-02-20,17,269.95477294921875,259.1923642918974,280.7171816065401,259.1923642918974,-182.9609471744634,🛑 Stop-Loss (Mekanik),9
JPM,LONG,2025-02-20,2025-02-25,17,260.10809326171875,248.0330227197402,272.1831638036973,248.0330227197402,-205.27619921363566,🛑 Stop-Loss (Mekanik),3
V,LONG,2025-02-13,2025-03-06,12,352.2579650878906,339.0062365154845,365.50969366029676,339.0062365154845,-159.02074286887364,🛑 Stop-Loss (Mekanik),14
JPM,LONG,2025-02-25,2025-03-07,16,250.9438934326172,236.94684418443632,264.94094268079806,236.94684418443632,-223.95278797089395,🛑 Stop-Loss (Mekanik),8
V,LONG,2025-03-06,2025-03-13,12,340.8966979980469,324.6928825321128,357.100513463981,324.6928825321128,-194.4457855912092,🛑 Stop-Loss (Mekanik),5
AAPL,SHORT,2025-03-10,2025-03-13,5,226.2843780517578,210.2388006894463,210.2388006894463,242.32995541406933,80.2278868115576,✅ Take-Profit SHORT (Mekanik),3
JPM,LONG,2025-03-07,2025-03-31,12,236.20314025878906,239.1473846435547,254.47242751030817,217.93385300726996,35.3309326171875,ZAMAN AŞIMI,16
AAPL,SHORT,2025-03-13,2025-04-04,11,208.57791137695312,189.58007743807119,189.58007743807119,227.57574531583506,208.97617332770133,✅ Take-Profit SHORT (Mekanik),16
MSFT,SHORT,2025-03-13,2025-04-04,7,375.0799560546875,356.3343811035156,348.7727167730889,401.3871953362861,131.21902465820312,ZAMAN AŞIMI,16
NVDA,SHORT,2025-03-13,2025-04-04,2,115.55277252197266,95.8393884348323,95.8393884348323,135.266156609113,39.42676817428071,✅ Take-Profit SHORT (Mekanik),16
AAPL,SHORT,2025-04-04,2025-04-08,12,187.38987731933594,169.3121752214775,169.3121752214775,205.46757941719437,216.93242517430122,✅ Take-Profit SHORT (Mekanik),2
MSFT,SHORT,2025-04-04,2025-04-09,10,356.3343811035156,378.13595871970665,334.5328034873246,378.13595871970665,-218.01577616191025,🛑 Stop-Loss SHORT (Mekanik),3
NVDA,SHORT,2025-04-04,2025-04-09,17,94.28778076171875,107.52930155223957,81.04625997119793,107.52930155223957,-225.105853438854,🛑 Stop-Loss SHORT (Mekanik),3
AAPL,SHORT,2025-04-08,2025-04-09,9,171.5137481689453,195.08564024637496,147.94185609151566,195.08564024637496,-212.14702869686687,🛑 Stop-Loss SHORT (Mekanik),1
MSFT,SHORT,2025-04-09,2025-04-21,6,386.6857604980469,352.95334615928164,352.95334615928164,420.4181748368121,202.39448603259143,✅ Take-Profit SHORT (Mekanik),7
NVDA,SHORT,2025-04-09,2025-04-21,11,114.30307006835938,95.42358981524085,95.42358981524085,133.18255032147792,207.67428278430384,✅ Take-Profit SHORT (Mekanik),7
MSFT,SHORT,2025-04-21,2025-05-01,5,355.6213684082031,395.41028495792943,315.8324518584768,395.41028495792943,-198.94458274863155,🛑 Stop-Loss SHORT (Mekanik),8
AAPL,SHORT,2025-04-09,2025-05-02,7,197.80484008789062,204.27069091796875,170.06745833994464,225.5422218358366,-45.260955810546875,ZAMAN AŞIMI,16
NVDA,SHORT,2025-04-21,2025-05-12,10,96.88717651367188,118.84271490616659,74.93163812117716,118.84271490616659,-219.55538392494717,🛑 Stop-Loss SHORT (Mekanik),15
MSFT,SHORT,2025-05-01,2025-05-15,7,421.2556457519531,452.23832795031586,390.2729635535904,452.23832795031586,-216.87877538853917,🛑 Stop-Loss SHORT (Mekanik),10
JPM,LONG,2025-05-02,2025-05-15,14,247.69285583496094,262.98474728291745,262.98474728291745,232.40096438700445,214.08648027139134,✅ Take-Profit (Mekanik),9
V,LONG,2025-05-02,2025-05-16,2,344.3040771484375,363.1840499457828,363.1840499457828,325.4241043510922,37.759945594690635,✅ Take-Profit (Mekanik),10
JPM,LONG,2025-05-15,2025-06-09,16,262.3870849609375,261.6513977050781,275.3685501125696,249.40561980930536,-11.77099609375,ZAMAN AŞIMI,16
V,LONG,2025-05-16,2025-06-10,10,362.2585754394531,367.7948913574219,377.2142083401485,347.30294253875775,55.3631591796875,ZAMAN AŞIMI,16
V,LONG,2025-06-10,2025-06-13,10,367.7948913574219,354.64517550062834,380.9446072142154,354.64517550062834,-131.49715856793546,🛑 Stop-Loss (Mekanik),3
JPM,LONG,2025-06-09,2025-06-18,16,261.6513977050781,271.47286901883535,271.47286901883535,251.8299263913209,157.14354102011566,✅ Take-Profit (Mekanik),7
V,LONG,2025-06-13,2025-06-20,10,350.0847473144531,333.5333166764414,366.63617795246483,333.5333166764414,-165.51430638011698,🛑 Stop-Loss (Mekanik),4
JPM,LONG,2025-06-18,2025-06-26,16,268.7336730957031,279.1349500566215,279.1349500566215,258.33239613478474,166.4204313746941,✅ Take-Profit (Mekanik),5
V,LONG,2025-06-20,2025-07-03,10,335.91668701171875,356.04876219422937,356.04876219422937,315.78461182920813,201.32075182510607,✅ Take-Profit (Mekanik),9
JPM,LONG,2025-06-26,2025-07-21,16,283.2414855957031,286.7942199707031,294.7445447473499,271.73842644405636,56.84375,ZAMAN AŞIMI,16
V,LONG,2025-07-03,2025-07-28,10,356.047607421875,352.6842346191406,378.6122179233379,333.4829969204121,-33.63372802734375,ZAMAN AŞIMI,16
V,LONG,2025-07-28,2025-08-01,10,352.6842346191406,340.88989887349317,364.4785703647881,340.88989887349317,-117.94335745647459,🛑 Stop-Loss (Mekanik),4
JPM,LONG,2025-07-21,2025-08-12,16,286.7942199707031,288.6472473144531,300.62380062636623,272.96463931504,29.6484375,ZAMAN AŞIMI,16
V,LONG,2025-08-01,2025-08-25,10,336.6905517578125,346.6952819824219,349.53552468617346,323.84557882945154,100.04730224609375,ZAMAN AŞIMI,16
JPM,LONG,2025-08-12,2025-09-04,16,288.6472473144531,299.4598083496094,301.5011442082905,275.79335042061575,173.0009765625,ZAMAN AŞIMI,16
JPM,LONG,2025-09-04,2025-09-08,16,299.4598083496094,288.1935009654472,310.72611573377156,288.1935009654472,-180.26091814659503,🛑 Stop-Loss (Mekanik),2
JPM,LONG,2025-09-08,2025-09-11,16,288.70635986328125,301.15016572675756,301.15016572675756,276.26255399980494,199.10089381562102,✅ Take-Profit (Mekanik),3
V,LONG,2025-08-25,2025-09-16,10,346.6952819824219,332.80175790766197,360.5888060571818,332.80175790766197,-138.93524074759898,🛑 Stop-Loss (Mekanik),15
JPM,LONG,2025-09-11,2025-10-03,16,301.1748352050781,305.5806579589844,314.6236583225141,287.7260120876422,70.4931640625,ZAMAN AŞIMI,16
V,LONG,2025-09-16,2025-10-03,10,337.9588623046875,350.7767447026501,350.7767447026501,325.1409799067249,128.17882397962603,✅ Take-Profit (Mekanik),13
JPM,LONG,2025-10-03,2025-10-14,18,305.5806579589844,293.1122090432651,318.0491068747036,293.1122090432651,-224.43208048294673,🛑 Stop-Loss (Mekanik),7
V,LONG,2025-10-03,2025-10-16,8,347.7090759277344,332.61053917915393,362.8076126763148,332.61053917915393,-120.78829398864355,🛑 Stop-Loss (Mekanik),9
JPM,LONG,2025-10-14,2025-11-05,14,299.19232177734375,308.7005615234375,315.1424919397027,283.2421516149848,133.1153564453125,ZAMAN AŞIMI,16
V,LONG,2025-10-16,2025-11-07,11,333.3570556640625,333.9732666015625,350.62798845153213,316.08612287659287,6.7783203125,ZAMAN AŞIMI,16
V,LONG,2025-11-07,2025-11-18,11,333.9732666015625,319.7870015695133,348.1595316336117,319.7870015695133,-156.04891535254137,🛑 Stop-Loss (Mekanik),7
JPM,LONG,2025-11-05,2025-11-21,14,308.7005615234375,293.50085628461676,323.90026676225824,293.50085628461676,-212.7958733434907,🛑 Stop-Loss (Mekanik),12
JPM,LONG,2025-11-21,2025-12-04,12,295.171142578125,313.0609829803338,313.0609829803338,277.2813021759162,214.67808482650526,✅ Take-Profit (Mekanik),8
JPM,LONG,2025-12-04,2025-12-10,13,313.0783386230469,296.3504901516079,329.80618709448584,296.3504901516079,-217.46203012870637,🛑 Stop-Loss (Mekanik),4
V,LONG,2025-11-18,2025-12-11,11,319.85595703125,335.749827624023,335.749827624023,303.962086438477,174.83257652050315,✅ Take-Profit (Mekanik),16
JPM,LONG,2025-12-10,2025-12-24,11,307.1455383300781,325.8454201834787,325.8454201834787,288.4456564766775,205.69870038740646,✅ Take-Profit (Mekanik),10
V,LONG,2025-12-11,2026-01-06,13,344.2052001953125,356.08599853515625,359.9276290112655,328.4827713793595,154.45037841796875,ZAMAN AŞIMI,16
V,LONG,2026-01-06,2026-01-12,13,356.08599853515625,344.2510531889956,367.9209438813169,344.2510531889956,-153.85428950008827,🛑 Stop-Loss (Mekanik),4
JPM,LONG,2025-12-24,2026-01-13,11,326.02337646484375,309.76599860903985,342.28075432064765,309.76599860903985,-178.83115641384302,🛑 Stop-Loss (Mekanik),12
V,LONG,2026-01-12,2026-01-13,13,341.7851867675781,327.560135779719,356.01023775543723,327.560135779719,-184.9256628421681,🛑 Stop-Loss (Mekanik),1
JPM,LONG,2026-01-13,2026-02-05,13,309.3169860839844,308.5807800292969,325.12879982831447,293.5051723396543,-9.5706787109375,ZAMAN AŞIMI,16
V,LONG,2026-01-13,2026-02-05,12,326.5283508300781,327.773193359375,343.4529392205127,309.60376243964356,14.9381103515625,ZAMAN AŞIMI,16
V,LONG,2026-02-05,2026-02-23,12,327.773193359375,310.87172490190653,344.67466181684347,310.87172490190653,-202.81762148962162,🛑 Stop-Loss (Mekanik),11
JPM,LONG,2026-02-05,2026-02-24,13,308.5807800292969,292.1985677255953,324.96299233299845,292.1985677255953,-212.96875994812035,🛑 Stop-Loss (Mekanik),12
V,LONG,2026-02-23,2026-03-17,10,305.8858642578125,307.82183837890625,325.44854245424955,286.32318606137545,19.3597412109375,ZAMAN AŞIMI,16
JPM,LONG,2026-02-24,2026-03-18,9,295.7862243652344,286.27490234375,318.96758355729884,272.6048651731699,-85.60189819335938,ZAMAN AŞIMI,16
AAPL,SHORT,2026-03-20,2026-04-06,1,247.76173400878906,260.4286348021474,235.09483321543073,260.4286348021474,-12.666900793358366,🛑 Stop-Loss SHORT (Mekanik),10
JPM,LONG,2026-03-18,2026-04-08,11,286.27490234375,305.1035333743478,305.1035333743478,267.4462713131522,207.11494133657607,✅ Take-Profit (Mekanik),14
V,LONG,2026-03-17,2026-04-09,13,307.82183837890625,307.6522216796875,323.7958595630384,291.8478171947741,-2.20501708984375,ZAMAN AŞIMI,16
V,LONG,2026-04-09,2026-04-29,13,307.6522216796875,323.86682424608745,323.86682424608745,291.43761911328755,210.78983336319925,✅ Take-Profit (Mekanik),14
JPM,LONG,2026-04-08,2026-04-30,11,307.9700012207031,313.2300109863281,326.01836747271057,289.9216349686957,57.860107421875,ZAMAN AŞIMI,16
V,LONG,2026-04-29,2026-05-08,11,334.167236328125,315.89083078019627,352.44364187605373,315.89083078019627,-201.04046102721622,🛑 Stop-Loss (Mekanik),7
JPM,LONG,2026-04-30,2026-05-12,13,313.2300109863281,298.3871765136719,328.0728454589844,298.3871765136719,-192.95684814453125,🛑 Stop-Loss (Mekanik),8
