Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
VTR,LONG,sp500_genel,50.0,5573,984,0,0,3390,2183,60.8,0.0,0.0,0.0,60.6,0,0,612,372,62.2,0.0,0.0,0.0,44.9,Bilinmiyor
VTR,SHORT,sp500_genel,50.0,5573,984,355,928,3224,1066,64.2,27.7,25.0,26.3,59.7,223,723,36,2,26.3,23.6,99.1,38.1,57.8,Bilinmiyor
VTRS,LONG,sp500_genel,50.0,5573,984,0,0,3838,1735,68.9,0.0,0.0,0.0,47.7,0,0,615,369,62.5,0.0,0.0,0.0,49.3,Bilinmiyor
VTRS,SHORT,sp500_genel,50.0,5573,984,363,673,3231,1306,64.5,35.0,21.7,26.8,53.8,249,646,87,2,34.1,27.8,99.2,43.5,69.7,Bilinmiyor
VZ,LONG,sp500_genel,50.0,5573,984,0,0,3726,1847,66.9,0.0,0.0,0.0,56.1,0,0,665,319,67.6,0.0,0.0,0.0,48.9,Bilinmiyor
VZ,SHORT,sp500_genel,50.0,5573,984,453,813,2953,1354,61.1,35.8,25.1,29.5,38.0,308,651,17,8,33.0,32.1,97.5,48.3,58.2,Bilinmiyor
WAB,LONG,sp500_genel,50.0,5573,984,0,0,3680,1893,66.0,0.0,0.0,0.0,61.4,0,0,580,404,58.9,0.0,0.0,0.0,50.7,Bilinmiyor
WAB,SHORT,sp500_genel,50.0,5573,984,327,901,3356,989,66.1,26.6,24.8,25.7,51.1,212,727,41,4,25.7,22.6,98.1,36.7,71.8,Bilinmiyor
WAT,LONG,sp500_genel,50.0,5573,984,0,0,3498,2075,62.8,0.0,0.0,0.0,59.6,0,0,696,288,70.7,0.0,0.0,0.0,37.2,Bilinmiyor
WAT,SHORT,sp500_genel,50.0,5573,984,296,731,3380,1166,66.0,28.8,20.2,23.8,58.1,305,525,131,23,44.3,36.7,93.0,52.7,72.9,Bilinmiyor
WBD,LONG,sp500_genel,50.0,4396,776,0,2,3001,1393,68.3,0.0,0.0,0.0,59.9,0,0,500,276,64.4,0.0,0.0,0.0,46.0,Bilinmiyor
WBD,SHORT,sp500_genel,50.0,4396,776,179,401,2836,980,68.6,30.9,15.4,20.6,79.0,196,367,199,14,50.9,34.8,93.3,50.7,93.3,Bilinmiyor
WDAY,LONG,sp500_genel,50.0,2839,502,0,0,1847,992,65.1,0.0,0.0,0.0,52.8,0,0,394,108,78.5,0.0,0.0,0.0,57.4,Bilinmiyor
WDAY,SHORT,sp500_genel,50.0,2839,502,240,597,1471,531,60.3,28.7,31.1,29.9,54.2,137,212,101,52,47.4,39.3,72.5,50.9,34.4,Bilinmiyor
WDC,LONG,sp500_genel,50.0,5573,984,0,0,3495,2078,62.7,0.0,0.0,0.0,53.0,0,0,523,461,53.2,0.0,0.0,0.0,53.4,Bilinmiyor
WDC,SHORT,sp500_genel,50.0,5573,984,137,317,3700,1419,68.8,30.2,8.8,13.6,77.5,207,576,198,3,41.2,26.4,98.6,41.7,98.6,Bilinmiyor
WEC,LONG,sp500_genel,50.0,5573,984,0,0,3286,2287,59.0,0.0,0.0,0.0,50.9,0,0,630,354,64.0,0.0,0.0,0.0,31.6,Bilinmiyor
WEC,SHORT,sp500_genel,50.0,5573,984,307,1096,3188,982,62.7,21.9,23.8,22.8,28.9,256,699,27,2,28.8,26.8,99.2,42.2,51.2,Bilinmiyor
WELL,LONG,sp500_genel,50.0,5573,984,0,0,3362,2211,60.3,0.0,0.0,0.0,52.9,0,0,572,412,58.1,0.0,0.0,0.0,61.4,Bilinmiyor
WELL,SHORT,sp500_genel,50.0,5573,984,368,1016,3143,1046,63.0,26.6,26.0,26.3,44.8,183,755,42,4,22.9,19.5,97.9,32.5,70.6,Bilinmiyor
WFC,LONG,sp500_genel,50.0,5573,984,0,0,3692,1881,66.2,0.0,0.0,0.0,60.3,0,0,604,380,61.4,0.0,0.0,0.0,41.6,Bilinmiyor
WFC,SHORT,sp500_genel,50.0,5573,984,427,844,3127,1175,63.8,33.6,26.7,29.7,58.1,244,656,71,13,32.0,27.1,94.9,42.2,62.3,Bilinmiyor
WM,LONG,sp500_genel,50.0,5573,984,0,0,3528,2045,63.3,0.0,0.0,0.0,57.1,0,0,618,366,62.8,0.0,0.0,0.0,48.6,Bilinmiyor
WM,SHORT,sp500_genel,50.0,5573,984,434,975,3189,975,65.0,30.8,30.8,30.8,41.6,242,710,26,6,27.2,25.4,97.6,40.3,45.6,Bilinmiyor
WMB,LONG,sp500_genel,50.0,5573,984,0,0,3587,1986,64.4,0.0,0.0,0.0,64.6,0,0,597,387,60.7,0.0,0.0,0.0,55.8,Bilinmiyor
WMB,SHORT,sp500_genel,50.0,5573,984,382,638,3415,1138,68.1,37.5,25.1,30.1,80.3,191,761,29,3,22.4,20.1,98.5,33.3,68.6,Bilinmiyor
WMT,LONG,sp500_genel,50.0,5573,984,0,0,3537,2036,63.5,0.0,0.0,0.0,55.4,0,0,563,421,57.2,0.0,0.0,0.0,55.1,Bilinmiyor
WMT,SHORT,sp500_genel,50.0,5573,984,389,975,3084,1125,62.3,28.5,25.7,27.0,35.7,188,762,30,4,22.2,19.8,97.9,32.9,68.2,Bilinmiyor
WRB,LONG,sp500_genel,50.0,5573,984,0,0,3464,2109,62.2,0.0,0.0,0.0,52.9,0,0,627,357,63.7,0.0,0.0,0.0,59.1,Bilinmiyor
WRB,SHORT,sp500_genel,50.0,5573,984,402,968,3133,1070,63.4,29.3,27.3,28.3,39.0,252,686,34,12,29.1,26.9,95.5,41.9,54.9,Bilinmiyor
WSM,LONG,sp500_genel,50.0,5573,984,0,0,3705,1868,66.5,0.0,0.0,0.0,50.9,0,0,618,366,62.8,0.0,0.0,0.0,37.7,Bilinmiyor
WSM,SHORT,sp500_genel,50.0,5573,984,262,657,3499,1155,67.5,28.5,18.5,22.4,71.3,199,634,128,23,33.2,23.9,89.6,37.7,63.1,Bilinmiyor
WST,LONG,sp500_genel,50.0,5573,984,0,0,3499,2074,62.8,0.0,0.0,0.0,54.0,0,0,629,355,63.9,0.0,0.0,0.0,50.7,Bilinmiyor
WST,SHORT,sp500_genel,50.0,5573,984,444,786,3319,1024,67.5,36.1,30.2,32.9,42.8,264,625,90,5,36.0,29.7,98.1,45.6,71.7,Bilinmiyor
WTW,LONG,sp500_genel,50.0,5264,930,0,0,3445,1819,65.4,0.0,0.0,0.0,50.8,0,0,606,324,65.2,0.0,0.0,0.0,49.1,Bilinmiyor
WTW,SHORT,sp500_genel,50.0,5264,930,317,687,3104,1156,65.0,31.6,21.5,25.6,51.5,198,665,53,14,27.0,22.9,93.4,36.8,47.2,Bilinmiyor
WY,LONG,sp500_genel,50.0,5573,984,0,0,3436,2137,61.7,0.0,0.0,0.0,55.9,0,0,705,279,71.6,0.0,0.0,0.0,36.6,Bilinmiyor
WY,SHORT,sp500_genel,50.0,5573,984,383,847,3150,1193,63.4,31.1,24.3,27.3,50.6,328,595,44,17,37.8,35.5,95.1,51.7,55.4,Bilinmiyor
WYNN,LONG,sp500_genel,50.0,4973,878,0,0,3166,1807,63.7,0.0,0.0,0.0,58.8,0,0,620,258,70.6,0.0,0.0,0.0,53.9,Bilinmiyor
WYNN,SHORT,sp500_genel,50.0,4973,878,104,357,3335,1177,69.2,22.6,8.1,11.9,75.0,243,504,112,19,40.4,32.5,92.7,48.2,72.5,Bilinmiyor
XEL,LONG,sp500_genel,50.0,5573,984,0,0,3325,2248,59.7,0.0,0.0,0.0,55.5,0,0,641,343,65.1,0.0,0.0,0.0,35.0,Bilinmiyor
XEL,SHORT,sp500_genel,50.0,5573,984,334,1008,3230,1001,64.0,24.9,25.0,25.0,37.2,275,675,32,2,31.2,28.9,99.3,44.8,49.5,Bilinmiyor
XOM,LONG,sp500_genel,50.0,5573,984,0,0,3609,1964,64.8,0.0,0.0,0.0,58.7,0,0,625,359,63.5,0.0,0.0,0.0,48.7,Bilinmiyor
XOM,SHORT,sp500_genel,50.0,5573,984,474,897,3067,1135,63.5,34.6,29.5,31.8,42.5,241,712,29,2,27.4,25.3,99.2,40.3,76.5,Bilinmiyor
XYL,LONG,sp500_genel,50.0,3054,539,0,0,1835,1219,60.1,0.0,0.0,0.0,52.3,0,0,388,151,72.0,0.0,0.0,0.0,47.0,Bilinmiyor
XYL,SHORT,sp500_genel,50.0,3054,539,256,666,1596,536,60.6,27.8,32.3,29.9,44.2,133,341,52,13,34.3,28.1,91.1,42.9,61.6,Bilinmiyor
XYZ,LONG,sp500_genel,50.0,2176,385,0,0,1358,818,62.4,0.0,0.0,0.0,54.9,0,0,310,75,80.5,0.0,0.0,0.0,21.3,Bilinmiyor
XYZ,SHORT,sp500_genel,50.0,2176,385,125,626,1137,288,58.0,16.6,30.3,21.5,68.3,71,144,151,19,57.7,33.0,78.9,46.6,82.2,Bilinmiyor
YUM,LONG,sp500_genel,50.0,5573,984,0,0,3405,2168,61.1,0.0,0.0,0.0,54.2,0,0,669,315,68.0,0.0,0.0,0.0,41.0,Bilinmiyor
YUM,SHORT,sp500_genel,50.0,5573,984,384,921,3200,1068,64.3,29.4,26.4,27.9,37.4,269,682,26,7,30.0,28.3,97.5,43.8,54.3,Bilinmiyor
ZBH,LONG,sp500_genel,50.0,5239,925,0,0,3266,1973,62.3,0.0,0.0,0.0,56.9,0,0,595,330,64.3,0.0,0.0,0.0,35.2,Bilinmiyor
ZBH,SHORT,sp500_genel,50.0,5239,925,269,708,3181,1081,65.9,27.5,19.9,23.1,51.1,264,588,53,20,34.3,31.0,93.0,46.5,55.6,Bilinmiyor
ZBRA,LONG,sp500_genel,50.0,5573,984,0,0,3722,1851,66.8,0.0,0.0,0.0,58.1,0,0,643,341,65.3,0.0,0.0,0.0,42.2,Bilinmiyor
ZBRA,SHORT,sp500_genel,50.0,5573,984,321,805,3311,1136,65.2,28.5,22.0,24.9,49.8,254,589,127,14,38.7,30.1,94.8,45.7,71.3,Bilinmiyor
ZTS,LONG,sp500_genel,50.0,2776,491,0,0,1683,1093,60.6,0.0,0.0,0.0,52.9,0,0,375,116,76.4,0.0,0.0,0.0,39.7,Bilinmiyor
ZTS,SHORT,sp500_genel,50.0,2776,491,304,705,1382,385,60.7,30.1,44.1,35.8,51.8,124,297,50,20,35.4,29.5,86.1,43.9,44.4,Bilinmiyor
