Sembol,Yon,Model,Esik,Train_N,Val_N,Train_TP,Train_FP,Train_TN,Train_FN,Train_Acc,Train_WinRate,Train_Recall,Train_F1,Train_AUC,Val_TP,Val_FP,Val_TN,Val_FN,Val_Acc,Val_WinRate,Val_Recall,Val_F1,Val_AUC,Sektor
TSLA,SHORT,sp500_genel,50.0,3332,588,165,403,2166,598,70.0,29.0,21.6,24.8,85.1,78,215,235,60,53.2,26.6,56.5,36.2,78.3,Bilinmiyor
TSN,LONG,sp500_genel,50.0,5573,984,0,0,3456,2117,62.0,0.0,0.0,0.0,54.1,0,0,657,327,66.8,0.0,0.0,0.0,39.4,Bilinmiyor
TSN,SHORT,sp500_genel,50.0,5573,984,387,852,3124,1210,63.0,31.2,24.2,27.3,42.2,293,657,15,19,31.3,30.8,93.9,46.4,56.7,Bilinmiyor
TT,LONG,sp500_genel,50.0,5573,984,0,0,3453,2120,62.0,0.0,0.0,0.0,59.6,0,0,569,415,57.8,0.0,0.0,0.0,43.4,Bilinmiyor
TT,SHORT,sp500_genel,50.0,5573,984,424,819,3243,1087,65.8,34.1,28.1,30.8,54.6,239,686,52,7,29.6,25.8,97.2,40.8,60.6,Bilinmiyor
TTD,LONG,sp500_genel,50.0,1998,353,0,0,1328,670,66.5,0.0,0.0,0.0,45.2,0,0,290,63,82.2,0.0,0.0,0.0,52.4,Bilinmiyor
TTD,SHORT,sp500_genel,50.0,1998,353,134,465,1137,262,63.6,22.4,33.8,26.9,70.7,39,33,209,72,70.3,54.2,35.1,42.6,78.4,Bilinmiyor
TTWO,LONG,sp500_genel,50.0,5573,984,0,0,3633,1940,65.2,0.0,0.0,0.0,56.9,0,0,674,310,68.5,0.0,0.0,0.0,49.4,Bilinmiyor
TTWO,SHORT,sp500_genel,50.0,5573,984,208,538,3575,1252,67.9,27.9,14.2,18.9,70.8,222,673,65,24,29.2,24.8,90.2,38.9,53.3,Bilinmiyor
TXN,LONG,sp500_genel,50.0,5573,984,0,0,3784,1789,67.9,0.0,0.0,0.0,69.0,0,0,621,363,63.1,0.0,0.0,0.0,32.5,Bilinmiyor
